,en,ru
cancel,Cancel,Отмена
ok,Ok,Ок
back,Back,Назад
menu.continue,Continue,Продолжить
menu.newGame,New game,Новая игра
menu.loadGame,Load game,Загрузить игру
menu.settings,Settings,Настройки
menu.exit,Exit,Выход
loadSaveMenu.title,Load game,Загрузить игру
loadSaveMenu.accept.startNewGame,Start a new game?,Начать новую игру?
loadSaveMenu.accept.loadGame,Load slot %d?,Загрузить слот %d?
saveBtn.slot,Slot %d,Слот %d
saveBtn.emptySlot,Empty slot,Пустой слот
items.take,I picked up the %s,Я подобрал %s
items.takeAmmo,I picked up the ammo x%d,Я подобрал патроны x%d
items.takeSmallMedkit,I picked up the bandage x%d,Я подобрал бинты x%d
door.close,The door is broken,Дверь сломана
door.needKey,I need a key for this door,Для этой двери мне нужен ключ
door.openBy,I used %s,Я использовал %s
data.smallMedkit.name,Bandage,Бинты
data.smallMedkit.description,Bandage,Бинты
data.ammo.name,Ammo,Патроны
data.ammo.description,Ammo,Патроны
data.key.name,Key,Ключ
data.key.description,Key,Ключ
data.pistol.name,Pistol,Пистолет
data.pistol.description,Pistol,Пистолет
data.shotgun.name,Shotgun,Дробовик
data.shotgun.description,Shotgun,Дробовик
level.name.saveRoom,Save room,Комната сохранений
message.saveGame,Save the game?,Сохранить игру?
pauseUI.continue,Continue,Продолжить
pauseUI.settings,Settings,Настройки
pauseUI.exit,Exit,Выход
pauseUI.lostProgress,Unsaved progress will be lost,Несохраненный прогресс будет утерян
pauseUI.exitToDesktop,Exit to desktop,Выйти на рабочий стол
pauseUI.exitToMenu,Exit to menu,Выйти в меню
settingsUI.game,Game,Игра
settingsUI.control,Control,Управление
settingsUI.audio,Audio,Звуки
settingsUI.display,Display,Экарн
settingsUI.language,Language,Язык
settingsUI.acсept,Acсept,Принять
settingsUI.byDefault,By default,По умолчанию
settingsUI.mouseSensitivity,Mouse sensitivity,Чувстивтельность мыши
settingsUI.master,Master,Общая
settingsUI.music,Music,Музыка
settingsUI.fx,SFX,Эффекты
settingsUI.ui,UI,Интерфейс
settingsUI.fullscreen,Fullscreen,Полный экран
settingsUI.resolution,Resolution,Разрешение
settingsUI.applyMessage,Apply settings?,Применить настройки?
settingsUI.defaultMessage,All settings will be set to default,Все настройки будут установлены по умолчанию
inventoryUI.use,Use,Использовать
inventoryUI.empty,Empty,Пусто
lang.rus,Russian,Русский
lang.en,English,Английский
